orbit	ock	ick	et	pos[0]	pos[1]	pos[2]	blat	blon	blon0	ascending
5555	5555	146	1544215.878951	3321.373793	1502.509162	-971.635895	-14.895873	24.365127	-1.962116	0
5555	5555	147	1544217.878951	3320.095488	1500.973783	-978.130357	-14.998228	24.351380	-1.975863	0
5555	5555	148	1544219.878951	3318.806202	1499.434004	-984.621678	-15.100585	24.337627	-1.989616	0
5555	5555	149	1544221.878951	3317.505939	1497.889833	-991.109837	-15.202906	24.324011	-2.003232	0
5555	5555	150	1544223.878951	3316.194701	1496.341276	-997.594813	-15.305229	24.310388	-2.016855	0
5555	5555	151	1544225.878951	3314.872491	1494.788342	-1004.076586	-15.407289	24.296649	-2.030594	0
5555	5555	152	1544227.878951	3313.539310	1493.231039	-1010.555134	-15.509352	24.282905	-2.044338	0
5555	5555	153	1544229.878951	3312.195163	1491.669375	-1017.030437	-15.611553	24.269100	-2.058143	0
5555	5555	154	1544231.878951	3310.840051	1490.103357	-1023.502473	-15.713757	24.255290	-2.071953	0
5555	5555	155	1544233.878951	3309.473977	1488.532994	-1029.971222	-15.816115	24.241678	-2.085565	0
5555	5555	156	1544235.878951	3308.096944	1486.958293	-1036.436663	-15.918476	24.228060	-2.099183	0
5555	5555	157	1544237.878951	3306.708954	1485.379262	-1042.898775	-16.020806	24.214237	-2.113006	0
5555	5555	158	1544239.878951	3305.310011	1483.795910	-1049.357537	-16.123139	24.200407	-2.126836	0
5555	5555	159	1544241.878951	3303.900117	1482.208243	-1055.812928	-16.225495	24.186611	-2.140632	0
5555	5555	160	1544243.878951	3302.479276	1480.616271	-1062.264927	-16.327853	24.172809	-2.154434	0
5555	5555	161	1544245.878951	3301.047490	1479.020002	-1068.713514	-16.430215	24.159001	-2.168242	0
5555	5555	162	1544247.878951	3299.604761	1477.419442	-1075.158668	-16.532580	24.145187	-2.182056	0
5555	5555	163	1544249.878951	3298.151094	1475.814601	-1081.600367	-16.634788	24.131503	-2.195740	0
5555	5555	164	1544251.878951	3296.686492	1474.205486	-1088.038591	-16.736999	24.117812	-2.209431	0
5555	5555	165	1544253.878951	3295.210956	1472.592106	-1094.473320	-16.839218	24.103996	-2.223247	0
5555	5555	166	1544255.878951	3293.724491	1470.974467	-1100.904532	-16.941440	24.090173	-2.237070	0
5555	5555	167	1544257.878951	3292.227099	1469.352580	-1107.332207	-17.043821	24.076328	-2.250916	0
5555	5555	168	1544259.878951	3290.718785	1467.726450	-1113.756323	-17.146204	24.062476	-2.264767	0
5555	5555	169	1544261.878951	3289.199550	1466.096088	-1120.176861	-17.248430	24.048754	-2.278489	0
5555	5555	170	1544263.878951	3287.669398	1464.461500	-1126.593799	-17.350660	24.035025	-2.292218	0
5555	5555	171	1544265.878951	3286.128333	1462.822696	-1133.007116	-17.453016	24.021056	-2.306187	0
5555	5555	172	1544267.878951	3284.576359	1461.179682	-1139.416793	-17.555375	24.007080	-2.320163	0
5555	5555	173	1544269.878951	3283.013477	1459.532467	-1145.822807	-17.657614	23.993332	-2.333911	0
5555	5555	174	1544271.878951	3281.439692	1457.881060	-1152.225139	-17.759855	23.979577	-2.347666	0
5555	5555	175	1544273.878951	3279.855008	1456.225469	-1158.623768	-17.862090	23.965532	-2.361712	0
5555	5555	176	1544275.878951	3278.259427	1454.565701	-1165.018673	-17.964328	23.951480	-2.375763	0
5555	5555	177	1544277.878951	3276.652953	1452.901765	-1171.409833	-18.066853	23.937574	-2.389669	0
5555	5555	178	1544279.878951	3275.035591	1451.233669	-1177.797228	-18.169381	23.923661	-2.403582	0
5555	5555	179	1544281.878951	3273.407343	1449.561422	-1184.180837	-18.271751	23.909877	-2.417366	0
5555	5555	180	1544283.878951	3271.768213	1447.885032	-1190.560639	-18.374124	23.896085	-2.431158	0
5555	5555	181	1544285.878951	3270.118205	1446.204506	-1196.936615	-18.476393	23.882163	-2.445081	0
5555	5555	182	1544287.878951	3268.457322	1444.519853	-1203.308742	-18.578664	23.868233	-2.459010	0
5555	5555	183	1544289.878951	3266.785569	1442.831083	-1209.677001	-18.681036	23.854136	-2.473107	0
5555	5555	184	1544291.878951	3265.102949	1441.138201	-1216.041370	-18.783410	23.840032	-2.487211	0
5555	5555	185	1544293.878951	3263.409466	1439.441218	-1222.401831	-18.885646	23.826102	-2.501141	0
5555	5555	186	1544295.878951	3261.705124	1437.740142	-1228.758360	-18.987885	23.812166	-2.515077	0
5555	5555	187	1544297.878951	3259.989927	1436.034980	-1235.110940	-19.090279	23.798324	-2.528920	0
5555	5555	188	1544299.878951	3258.263878	1434.325741	-1241.459547	-19.192676	23.784473	-2.542770	0
5555	5555	189	1544301.878951	3256.526983	1432.612433	-1247.804163	-19.295066	23.770332	-2.556912	0
5555	5555	190	1544303.878951	3254.779244	1430.895066	-1254.144767	-19.397458	23.756182	-2.571061	0
5555	5555	191	1544305.878951	3253.020666	1429.173646	-1260.481337	-19.499869	23.742192	-2.585051	0
5555	5555	192	1544307.878951	3251.251253	1427.448184	-1266.813854	-19.602283	23.728194	-2.599049	0
5555	5555	193	1544309.878951	3249.471009	1425.718686	-1273.142297	-19.704538	23.714323	-2.612920	0
5555	5555	194	1544311.878951	3247.679939	1423.985162	-1279.466646	-19.806796	23.700444	-2.626799	0
5555	5555	195	1544313.878951	3245.878046	1422.247619	-1285.786880	-19.909314	23.686260	-2.640983	0
5555	5555	196	1544315.878951	3244.065335	1420.506067	-1292.102979	-20.011834	23.672069	-2.655174	0
5555	5555	197	1544317.878951	3242.241811	1418.760514	-1298.414922	-20.114106	23.658049	-2.669194	0
5555	5555	198	1544319.878951	3240.407476	1417.010968	-1304.722688	-20.216380	23.644021	-2.683222	0
5555	5555	199	1544321.878951	3238.562337	1415.257438	-1311.026258	-20.318641	23.629817	-2.697426	0
5555	5555	200	1544323.878951	3236.706397	1413.499931	-1317.325611	-20.420906	23.615605	-2.711638	0
5555	5555	201	1544325.878951	3234.839661	1411.738458	-1323.620727	-20.523458	23.601542	-2.725702	0
5555	5555	202	1544327.878951	3232.962133	1409.973026	-1329.911584	-20.626012	23.587470	-2.739773	0
5555	5555	203	1544329.878951	3231.073818	1408.203644	-1336.198164	-20.728548	23.573338	-2.753905	0
5555	5555	204	1544331.878951	3229.174720	1406.430320	-1342.480445	-20.831088	23.559197	-2.768046	0
5555	5555	205	1544333.878951	3227.264844	1404.653063	-1348.758407	-20.933492	23.545117	-2.782126	0
5555	5555	206	1544335.878951	3225.344194	1402.871881	-1355.032030	-21.035899	23.531030	-2.796213	0
5555	5555	207	1544337.878951	3223.412776	1401.086783	-1361.301293	-21.138200	23.516929	-2.810314	0
5555	5555	208	1544339.878951	3221.470594	1399.297778	-1367.566177	-21.240505	23.502819	-2.824424	0
5555	5555	209	1544341.878951	3219.517653	1397.504875	-1373.826660	-21.342900	23.488652	-2.838591	0
5555	5555	210	1544343.878951	3217.553957	1395.708081	-1380.082723	-21.445299	23.474476	-2.852767	0
5555	5555	211	1544345.878951	3215.579512	1393.907405	-1386.334346	-21.547828	23.460351	-2.866892	0
5555	5555	212	1544347.878951	3213.594322	1392.102857	-1392.581507	-21.650361	23.446218	-2.881026	0
5555	5555	213	1544349.878951	3211.598392	1390.294445	-1398.824188	-21.752788	23.432070	-2.895173	0
5555	5555	214	1544351.878951	3209.591727	1388.482176	-1405.062367	-21.855218	23.417914	-2.909329	0
